run,dataset,L2,seed,ASR,BA,L2_meas,SSIM,DCT,AC_AUC,SS_AUC,STRIP_TPR5,FP_ASR@0.9
cifar10_l2_0.9_seed1,cifar10,0.9,1,72.72,94.76,0.895,0.9791,0.0103,0.376,0.429,0.01,67.1
cifar10_l2_0.9_seed2,cifar10,0.9,2,78.87,94.8,0.895,0.982,0.0108,0.313,0.43,0.008,80.2
cifar10_l2_0.9_seed3,cifar10,0.9,3,76.69,94.79,0.894,0.9814,0.0106,0.307,0.455,0.002,73.8
cifar10_l2_1.2_seed1,cifar10,1.2,1,89.85,94.66,1.191,0.9673,0.0141,0.389,0.441,0.0,85.9
cifar10_l2_1.2_seed2,cifar10,1.2,2,87.89,94.7,1.191,0.9672,0.014,0.291,0.432,0.002,86.6
cifar10_l2_1.2_seed3,cifar10,1.2,3,88.05,94.8,1.191,0.9665,0.0138,0.424,0.491,0.006,86.8
cifar10_l2_1.5_seed1,cifar10,1.5,1,96.25,94.58,1.49,0.95,0.0168,0.221,0.449,0.056,96.7
cifar10_l2_1.5_seed2,cifar10,1.5,2,92.38,94.89,1.487,0.95,0.0169,0.289,0.409,0.018,91.9
cifar10_l2_1.5_seed3,cifar10,1.5,3,92.17,94.79,1.49,0.9497,0.017,0.24,0.44,0.046,91.4
gtsrb_l2_2.5_seed1,gtsrb,2.5,1,69.19,99.96,2.452,0.8024,0.0269,0.728,0.841,0.236,76.5
gtsrb_l2_2.5_seed2,gtsrb,2.5,2,63.16,99.92,2.448,0.8053,0.0265,0.662,0.795,0.208,67.3
gtsrb_l2_2.5_seed3,gtsrb,2.5,3,61.06,99.95,2.444,0.8072,0.0268,0.747,0.725,0.206,64.1
gtsrb_l2_3.0_seed1,gtsrb,3.0,1,70.66,99.9,2.918,0.7613,0.0312,0.731,0.727,0.232,76.5
gtsrb_l2_3.0_seed2,gtsrb,3.0,2,73.93,99.91,2.922,0.7614,0.032,0.735,0.756,0.4,77.6
gtsrb_l2_3.0_seed3,gtsrb,3.0,3,69.89,99.92,2.919,0.7612,0.0319,0.7,0.716,0.142,71.8
gtsrb_l2_3.5_seed1,gtsrb,3.5,1,86.17,99.89,3.38,0.7255,0.0377,0.718,0.737,0.464,93.4
gtsrb_l2_3.5_seed2,gtsrb,3.5,2,79.66,99.82,3.389,0.7172,0.0375,0.795,0.726,0.36,82.8
gtsrb_l2_3.5_seed3,gtsrb,3.5,3,82.36,99.83,3.395,0.718,0.0387,0.759,0.748,0.292,86.4
