run,ASR,BA
bl_tiny_badnets_seed1,90.1,55.8
bl_tiny_badnets_seed2,84.7,54.96
bl_tiny_badnets_seed3,93.2,54.62
bl_tiny_blend_seed1,78.7,54.45
bl_tiny_blend_seed2,81.2,55.06
bl_tiny_blend_seed3,78.0,54.96
bl_tiny_quantize_rgb_seed1,63.1,54.66
bl_tiny_quantize_rgb_seed2,64.3,54.86
bl_tiny_quantize_rgb_seed3,60.2,54.67
