run,dataset,L2,seed,ASR,BA,L2_meas,SSIM,DCT,AC_AUC,SS_AUC,STRIP_TPR5,FP_ASR@0.9
cifar100_l2_1.5_seed1,cifar100,1.5,1,98.92,77.2,1.474,0.9494,0.0154,0.003,0.184,0.666,96.5
cifar100_l2_1.5_seed2,cifar100,1.5,2,99.23,76.94,1.475,0.9493,0.0158,0.008,0.206,0.76,95.2
cifar100_l2_1.5_seed3,cifar100,1.5,3,99.03,77.14,1.475,0.9481,0.0166,0.01,0.233,0.382,77.9
cifar100_l2_2.0_seed1,cifar100,2.0,1,99.57,77.21,1.961,0.9187,0.0218,0.006,0.205,0.742,99.6
cifar100_l2_2.0_seed2,cifar100,2.0,2,99.37,77.67,1.962,0.9201,0.0219,0.007,0.191,0.808,98.2
cifar100_l2_2.0_seed3,cifar100,2.0,3,99.73,76.88,1.963,0.9186,0.0215,0.006,0.203,0.3,0.0
cifar100_l2_2.5_seed1,cifar100,2.5,1,99.79,76.67,2.443,0.8877,0.0275,0.007,0.223,0.87,99.8
cifar100_l2_2.5_seed2,cifar100,2.5,2,99.47,77.27,2.446,0.8879,0.0276,0.009,0.219,0.656,96.3
cifar100_l2_2.5_seed3,cifar100,2.5,3,99.54,76.91,2.447,0.8875,0.0274,0.008,0.195,0.618,92.9
