run,dataset,L2,seed,ASR,BA,L2_meas,SSIM,DCT,AC_AUC,SS_AUC,STRIP_TPR5,FP_ASR@0.9
gtsrb_l2_2.5_seed1,gtsrb,2.5,1,67.89,99.93,2.452,0.8024,0.0269,0.74,0.767,0.278,74.8
gtsrb_l2_2.5_seed2,gtsrb,2.5,2,62.75,99.92,2.448,0.8053,0.0265,0.583,0.785,0.168,68.2
gtsrb_l2_2.5_seed3,gtsrb,2.5,3,60.84,99.95,2.444,0.8072,0.0268,0.686,0.785,0.182,63.7
gtsrb_l2_3.0_seed1,gtsrb,3.0,1,69.02,99.85,2.918,0.7613,0.0312,0.678,0.742,0.244,78.0
gtsrb_l2_3.0_seed2,gtsrb,3.0,2,76.81,99.92,2.922,0.7614,0.032,0.755,0.826,0.416,78.2
gtsrb_l2_3.0_seed3,gtsrb,3.0,3,67.69,99.97,2.919,0.7612,0.0319,0.68,0.717,0.092,72.1
gtsrb_l2_3.5_seed1,gtsrb,3.5,1,86.08,99.88,3.38,0.7255,0.0377,0.698,0.708,0.392,93.0
gtsrb_l2_3.5_seed2,gtsrb,3.5,2,80.38,99.9,3.389,0.7172,0.0375,0.697,0.713,0.428,85.1
gtsrb_l2_3.5_seed3,gtsrb,3.5,3,83.44,99.83,3.395,0.718,0.0387,0.762,0.773,0.346,83.7
