run,dataset,L2,seed,ASR,BA,L2_meas,SSIM,DCT,AC_AUC,SS_AUC,STRIP_TPR5,FP_ASR@0.9
tiny_l2_1.5_seed1_p025,tiny,1.5,1,92.18,55.2,1.481,0.952,0.016,0.012,0.259,0.008,23.1
tiny_l2_1.5_seed2_p025,tiny,1.5,2,95.68,54.82,1.481,0.9521,0.0161,0.004,0.241,0.086,55.7
tiny_l2_1.5_seed3_p025,tiny,1.5,3,91.06,54.98,1.482,0.9521,0.0171,0.009,0.295,0.018,36.9
tiny_l2_2.0_seed1_p025,tiny,2.0,1,96.41,54.35,1.965,0.9282,0.0233,0.006,0.292,0.138,78.4
tiny_l2_2.0_seed2_p025,tiny,2.0,2,94.06,55.05,1.969,0.9262,0.0233,0.004,0.218,0.044,95.9
tiny_l2_2.0_seed3_p025,tiny,2.0,3,97.07,54.81,1.968,0.9278,0.0233,0.003,0.236,0.094,38.7
tiny_l2_2.5_seed1_p025,tiny,2.5,1,94.58,54.89,2.441,0.9044,0.0296,0.005,0.226,0.14,92.3
tiny_l2_2.5_seed2_p025,tiny,2.5,2,93.89,54.25,2.453,0.8988,0.0301,0.014,0.27,0.018,55.5
tiny_l2_2.5_seed3_p025,tiny,2.5,3,96.0,54.37,2.449,0.9017,0.0297,0.003,0.247,0.202,87.7
