run,dataset,L2,seed,ASR,BA,L2_meas,SSIM,DCT,AC_AUC,SS_AUC,STRIP_TPR5,FP_ASR@0.9
cifar100_l2_1.5_seed1_p05,cifar100,1.5,1,97.18,77.85,1.474,0.9494,0.0154,0.023,0.246,0.044,98.8
cifar100_l2_1.5_seed2_p05,cifar100,1.5,2,96.01,78.16,1.475,0.9493,0.0158,0.026,0.27,0.124,96.4
cifar100_l2_1.5_seed3_p05,cifar100,1.5,3,97.3,77.63,1.475,0.9481,0.0166,0.027,0.269,0.152,22.0
cifar100_l2_2.0_seed1_p05,cifar100,2.0,1,97.64,76.47,1.961,0.9187,0.0218,0.031,0.293,0.094,95.8
cifar100_l2_2.0_seed2_p05,cifar100,2.0,2,98.72,78.33,1.962,0.9201,0.0219,0.02,0.233,0.18,99.2
cifar100_l2_2.0_seed3_p05,cifar100,2.0,3,99.06,78.1,1.963,0.9186,0.0215,0.015,0.213,0.188,97.6
cifar100_l2_2.5_seed1_p05,cifar100,2.5,1,99.56,77.51,2.443,0.8877,0.0275,0.014,0.234,0.206,97.7
cifar100_l2_2.5_seed2_p05,cifar100,2.5,2,99.45,77.9,2.446,0.8879,0.0276,0.029,0.258,0.23,98.9
cifar100_l2_2.5_seed3_p05,cifar100,2.5,3,99.11,78.17,2.447,0.8875,0.0274,0.013,0.215,0.136,99.0
