scenario,selection,defense,category,test_acc,test_asr,TPR,FPR,source_file
ctrl_p0.03,res_log,fst,model_repair,0.9208,0.9744444444444444,,,log.txt
ctrl_p0.03,res_log,i-bau,model_repair,0.8831,0.6573333333333333,,,2025_07_26_13_11_46.log
ctrl_p0.03,res_log,nc,model_repair,0.9013,0.013,,,2025_07_26_13_26_41.log
ctrl_p0.03,res_log,rnp,model_repair,0.5397,0.8486666666666667,,,2025_07_26_13_34_51.log
ctrl_p0.03,res_log,scan,sample_filter,,,0.9686666666666667,0.0,detection_info.csv
ctrl_p0.03,res_log,strip,sample_filter,,,0.7992222222222222,0.098,detection_info.csv
ctrl_p0.03,res_square,abl,model_repair,0.9108,0.7295555555555555,,,2025_07_26_13_00_27.log
ctrl_p0.03,res_square,ac,sample_filter,0.8899,0.8985555555555556,,,2025_07_26_13_02_55.log
ctrl_p0.03,res_square,fp,model_repair,0.9207,0.9867777777777778,,,2025_07_26_13_10_38.log
ctrl_p0.03,res_square,fst,model_repair,0.918,0.972,,,log.txt
ctrl_p0.03,res_square,i-bau,model_repair,0.8855,0.403,,,2025_07_26_13_11_46.log
ctrl_p0.03,res_square,nc,model_repair,0.9336,0.9481111111111111,,,2025_07_26_13_26_41.log
ctrl_p0.03,res_square,rnp,model_repair,0.2455,0.3917777777777778,,,2025_07_26_13_34_51.log
ctrl_p0.03,res_square,scan,sample_filter,,,0.964,0.0,detection_info.csv
ctrl_p0.03,res_square,strip,sample_filter,,,0.442,0.089,detection_info.csv
sig_p0.03,forget,abl,model_repair,0.4088,0.0035555555555555557,,,2025_07_26_15_04_37.log
sig_p0.03,forget,ac,sample_filter,0.8916,0.9646666666666667,,,2025_07_26_15_07_22.log
sig_p0.03,forget,fp,model_repair,0.9189,0.758,,,2025_07_26_15_08_49.log
sig_p0.03,forget,fst,model_repair,0.9192,0.8688888888888889,,,log.txt
sig_p0.03,forget,i-bau,model_repair,0.8679,0.177,,,2025_07_26_15_08_55.log
sig_p0.03,forget,nc,model_repair,0.9315,0.9651111111111111,,,2025_07_26_15_11_41.log
sig_p0.03,forget,rnp,model_repair,0.5627,0.9054444444444445,,,2025_07_26_15_11_40.log
sig_p0.03,forget,scan,sample_filter,,,0.98,0.0,detection_info.csv
sig_p0.03,forget,strip,sample_filter,,,0.9378888888888889,0.09,detection_info.csv
sig_p0.03,random,abl,model_repair,0.4058,0.004111111111111111,,,2025_07_26_15_04_37.log
sig_p0.03,random,ac,sample_filter,0.8944,0.9353333333333333,,,2025_07_26_15_07_22.log
sig_p0.03,random,fp,model_repair,0.9161,0.6155555555555555,,,2025_07_26_15_08_49.log
sig_p0.03,random,fst,model_repair,0.9243,0.512,,,log.txt
sig_p0.03,random,i-bau,model_repair,0.8833,0.08911111111111111,,,2025_07_26_15_08_54.log
sig_p0.03,random,nc,model_repair,0.9364,0.9416666666666667,,,2025_07_26_15_11_41.log
sig_p0.03,random,rnp,model_repair,0.6345,0.0,,,2025_07_26_15_11_41.log
sig_p0.03,random,scan,sample_filter,,,0.98,0.0,detection_info.csv
sig_p0.03,random,strip,sample_filter,,,0.8241111111111111,0.068,detection_info.csv
sig_p0.03,res_linear,abl,model_repair,0.4028,0.00011111111111111112,,,2025_07_26_15_05_24.log
sig_p0.03,res_linear,ac,sample_filter,0.8924,0.9745555555555555,,,2025_07_26_15_07_22.log
sig_p0.03,res_linear,fp,model_repair,0.925,0.8693333333333333,,,2025_07_26_15_08_50.log
sig_p0.03,res_linear,fst,model_repair,0.9229,0.8153333333333334,,,log.txt
sig_p0.03,res_linear,i-bau,model_repair,0.879,0.4242222222222222,,,2025_07_26_15_08_54.log
sig_p0.03,res_linear,nc,model_repair,0.9332,0.9723333333333334,,,2025_07_26_15_11_41.log
sig_p0.03,res_linear,rnp,model_repair,0.33,0.0,,,2025_07_26_15_11_41.log
sig_p0.03,res_linear,scan,sample_filter,,,0.99,0.0,detection_info.csv
sig_p0.03,res_linear,strip,sample_filter,,,0.9573333333333334,0.063,detection_info.csv
sig_p0.03,res_log,abl,model_repair,0.4645,0.0,,,2025_07_26_15_05_23.log
sig_p0.03,res_log,ac,sample_filter,0.8888,0.9685555555555555,,,2025_07_26_15_07_22.log
sig_p0.03,res_log,fp,model_repair,0.9228,0.8047777777777778,,,2025_07_26_15_08_49.log
sig_p0.03,res_log,fst,model_repair,0.9187,0.8897777777777778,,,log.txt
sig_p0.03,res_log,i-bau,model_repair,0.8713,0.07844444444444444,,,2025_07_26_15_08_54.log
sig_p0.03,res_log,nc,model_repair,0.9301,0.9713333333333334,,,2025_07_26_15_11_40.log
sig_p0.03,res_log,rnp,model_repair,0.3787,0.0,,,2025_07_26_15_11_41.log
sig_p0.03,res_log,scan,sample_filter,,,0.9733333333333334,0.0,detection_info.csv
sig_p0.03,res_log,strip,sample_filter,,,0.964,0.051,detection_info.csv
sig_p0.03,res_square,abl,model_repair,0.4929,0.00011111111111111112,,,2025_07_26_15_05_24.log
sig_p0.03,res_square,ac,sample_filter,0.8928,0.9598888888888889,,,2025_07_26_15_07_22.log
sig_p0.03,res_square,fp,model_repair,0.9213,0.8836666666666667,,,2025_07_26_15_08_49.log
sig_p0.03,res_square,fst,model_repair,0.9187,0.7075555555555556,,,log.txt
sig_p0.03,res_square,i-bau,model_repair,0.8812,0.12344444444444444,,,2025_07_26_15_08_54.log
sig_p0.03,res_square,nc,model_repair,0.9296,0.9795555555555555,,,2025_07_26_15_11_41.log
sig_p0.03,res_square,rnp,model_repair,0.4839,0.0,,,2025_07_26_15_11_41.log
sig_p0.03,res_square,scan,sample_filter,,,0.9926666666666667,0.0,detection_info.csv
sig_p0.03,res_square,strip,sample_filter,,,0.9813333333333333,0.092,detection_info.csv
