scenario,selection,defense,category,test_acc,test_asr,TPR,FPR,source_file
badnet_p0.03,forget,abl,model_repair,0.4799,0.08388888888888889,,,2025_07_28_18_55_50.log
badnet_p0.03,forget,ac,sample_filter,0.8948,0.36277777777777775,,,2025_07_28_18_55_51.log
badnet_p0.03,forget,fp,model_repair,0.9199,0.30977777777777776,,,2025_07_28_18_55_45.log
badnet_p0.03,forget,fst,model_repair,0.918,0.5471111111111111,,,log.txt
badnet_p0.03,forget,i-bau,model_repair,0.8782,0.173,,,2025_07_28_18_55_50.log
badnet_p0.03,forget,nc,model_repair,0.931,0.529,,,2025_07_28_18_59_08.log
badnet_p0.03,forget,rnp,model_repair,0.4597,0.08777777777777777,,,2025_07_28_19_03_47.log
badnet_p0.03,forget,scan,sample_filter,,,0.892,4.1237113402061855e-05,detection_info.csv
badnet_p0.03,forget,strip,sample_filter,,,0.6977777777777778,0.135,detection_info.csv
badnet_p0.03,random,abl,model_repair,0.4038,0.0005555555555555556,,,2025_07_28_18_55_49.log
badnet_p0.03,random,ac,sample_filter,0.8995,0.1801111111111111,,,2025_07_28_18_55_50.log
badnet_p0.03,random,fp,model_repair,0.9216,0.144,,,2025_07_28_18_55_45.log
badnet_p0.03,random,fst,model_repair,0.9246,0.22011111111111112,,,log.txt
badnet_p0.03,random,i-bau,model_repair,0.8798,0.07966666666666666,,,2025_07_28_18_55_50.log
badnet_p0.03,random,nc,model_repair,0.9367,0.18777777777777777,,,2025_07_28_18_59_09.log
badnet_p0.03,random,rnp,model_repair,0.7988,0.10488888888888889,,,2025_07_28_19_03_46.log
badnet_p0.03,random,scan,sample_filter,,,0.8153333333333334,0.00010309278350515464,detection_info.csv
badnet_p0.03,random,strip,sample_filter,,,0.06655555555555556,0.114,detection_info.csv
badnet_p0.03,res_linear,abl,model_repair,0.549,0.04388888888888889,,,2025_07_28_18_55_50.log
badnet_p0.03,res_linear,ac,sample_filter,0.8898,0.43755555555555553,,,2025_07_28_18_55_50.log
badnet_p0.03,res_linear,fp,model_repair,0.9242,0.3532222222222222,,,2025_07_28_18_55_45.log
badnet_p0.03,res_linear,fst,model_repair,0.9247,0.5828888888888889,,,log.txt
badnet_p0.03,res_linear,i-bau,model_repair,0.8951,0.1481111111111111,,,2025_07_28_18_59_09.log
badnet_p0.03,res_linear,nc,model_repair,0.9351,0.5434444444444444,,,2025_07_28_18_59_08.log
badnet_p0.03,res_linear,rnp,model_repair,0.4038,0.11455555555555555,,,2025_07_28_19_03_47.log
badnet_p0.03,res_linear,scan,sample_filter,,,0.874,6.185567010309279e-05,detection_info.csv
badnet_p0.03,res_linear,strip,sample_filter,,,0.6433333333333333,0.114,detection_info.csv
badnet_p0.03,res_log,abl,model_repair,0.5568,0.054,,,2025_07_28_18_55_49.log
badnet_p0.03,res_log,ac,sample_filter,0.8931,0.4767777777777778,,,2025_07_28_18_55_50.log
badnet_p0.03,res_log,fp,model_repair,0.9165,0.3645555555555556,,,2025_07_28_18_55_45.log
badnet_p0.03,res_log,fst,model_repair,0.9187,0.6237777777777778,,,log.txt
badnet_p0.03,res_log,i-bau,model_repair,0.8825,0.27944444444444444,,,2025_07_28_18_59_09.log
badnet_p0.03,res_log,nc,model_repair,0.9275,0.5615555555555556,,,2025_07_28_18_59_09.log
badnet_p0.03,res_log,rnp,model_repair,0.5631,0.307,,,2025_07_28_19_03_47.log
badnet_p0.03,res_log,scan,sample_filter,,,0.8806666666666667,6.185567010309279e-05,detection_info.csv
badnet_p0.03,res_log,strip,sample_filter,,,0.6677777777777778,0.083,detection_info.csv
badnet_p0.03,res_square,abl,model_repair,0.5577,0.13966666666666666,,,2025_07_28_18_55_49.log
badnet_p0.03,res_square,ac,sample_filter,0.8932,0.46155555555555555,,,2025_07_28_18_55_51.log
badnet_p0.03,res_square,fp,model_repair,0.925,0.31022222222222223,,,2025_07_28_18_55_45.log
badnet_p0.03,res_square,fst,model_repair,0.9194,0.4822222222222222,,,log.txt
badnet_p0.03,res_square,i-bau,model_repair,0.9022,0.22144444444444444,,,2025_07_28_18_59_09.log
badnet_p0.03,res_square,nc,model_repair,0.9341,0.5413333333333333,,,2025_07_28_19_03_47.log
badnet_p0.03,res_square,rnp,model_repair,0.5677,0.36277777777777775,,,2025_07_28_19_05_14.log
badnet_p0.03,res_square,scan,sample_filter,,,0.88,2.0618556701030927e-05,detection_info.csv
badnet_p0.03,res_square,strip,sample_filter,,,0.7521111111111111,0.118,detection_info.csv
badnet_p0.03,stealth,abl,model_repair,0.3909,0.034888888888888886,,,2025_07_28_18_55_50.log
badnet_p0.03,stealth,ac,sample_filter,0.896,0.25577777777777777,,,2025_07_28_18_55_50.log
badnet_p0.03,stealth,fp,model_repair,0.9216,0.20177777777777778,,,2025_07_28_18_55_45.log
badnet_p0.03,stealth,fst,model_repair,0.9211,0.40544444444444444,,,log.txt
badnet_p0.03,stealth,i-bau,model_repair,0.8826,0.325,,,2025_07_28_18_59_09.log
badnet_p0.03,stealth,nc,model_repair,0.9345,0.37877777777777777,,,2025_07_28_19_03_47.log
badnet_p0.03,stealth,rnp,model_repair,0.6934,0.3492222222222222,,,2025_07_28_19_05_14.log
badnet_p0.03,stealth,scan,sample_filter,,,0.8166666666666667,6.185567010309279e-05,detection_info.csv
badnet_p0.03,stealth,strip,sample_filter,,,0.35288888888888886,0.112,detection_info.csv
blend_C_p0.03,forget,abl,model_repair,0.5358,0.019,,,2025_07_28_19_17_04.log
blend_C_p0.03,forget,ac,sample_filter,0.8992,0.8478888888888889,,,2025_07_28_19_17_04.log
blend_C_p0.03,forget,fp,model_repair,0.9273,0.956,,,2025_07_28_19_25_30.log
blend_C_p0.03,forget,fst,model_repair,0.919,0.8,,,log.txt
blend_C_p0.03,forget,i-bau,model_repair,0.8482,0.7645555555555555,,,2025_07_28_19_29_22.log
blend_C_p0.03,forget,nc,model_repair,0.9318,0.9161111111111111,,,2025_07_28_19_33_08.log
blend_C_p0.03,forget,rnp,model_repair,0.2704,0.0007777777777777777,,,2025_07_28_19_34_03.log
blend_C_p0.03,forget,scan,sample_filter,,,0.99,2.0618556701030927e-05,detection_info.csv
blend_C_p0.03,forget,strip,sample_filter,,,0.051444444444444445,0.078,detection_info.csv
blend_C_p0.03,random,abl,model_repair,0.5784,0.06133333333333333,,,2025_07_28_19_17_03.log
blend_C_p0.03,random,ac,sample_filter,0.8969,0.6291111111111111,,,2025_07_28_19_17_05.log
blend_C_p0.03,random,fp,model_repair,0.9235,0.7447777777777778,,,2025_07_28_19_25_30.log
blend_C_p0.03,random,fst,model_repair,0.9261,0.6422222222222222,,,log.txt
blend_C_p0.03,random,i-bau,model_repair,0.88,0.482,,,2025_07_28_19_29_22.log
blend_C_p0.03,random,nc,model_repair,0.9386,0.7476666666666667,,,2025_07_28_19_33_08.log
blend_C_p0.03,random,rnp,model_repair,0.3337,0.0,,,2025_07_28_19_34_03.log
blend_C_p0.03,random,scan,sample_filter,,,0.9553333333333334,0.0,detection_info.csv
blend_C_p0.03,random,strip,sample_filter,,,0.009111111111111111,0.083,detection_info.csv
blend_C_p0.03,res_linear,abl,model_repair,0.3911,0.007222222222222222,,,2025_07_28_19_17_04.log
blend_C_p0.03,res_linear,ac,sample_filter,0.8918,0.9388888888888889,,,2025_07_28_19_25_37.log
blend_C_p0.03,res_linear,fp,model_repair,0.9249,0.9473333333333334,,,2025_07_28_19_29_16.log
blend_C_p0.03,res_linear,fst,model_repair,0.9186,0.8797777777777778,,,log.txt
blend_C_p0.03,res_linear,i-bau,model_repair,0.8718,0.2956666666666667,,,2025_07_28_19_29_22.log
blend_C_p0.03,res_linear,nc,model_repair,0.9316,0.9392222222222222,,,2025_07_28_19_33_08.log
blend_C_p0.03,res_linear,rnp,model_repair,0.0769,0.004111111111111111,,,2025_07_28_19_35_54.log
blend_C_p0.03,res_linear,scan,sample_filter,,,0.9786666666666667,0.0,detection_info.csv
blend_C_p0.03,res_linear,strip,sample_filter,,,0.09722222222222222,0.076,detection_info.csv
blend_C_p0.03,res_log,abl,model_repair,0.4331,0.018444444444444444,,,2025_07_28_19_17_03.log
blend_C_p0.03,res_log,ac,sample_filter,0.8905,0.8945555555555555,,,2025_07_28_19_25_37.log
blend_C_p0.03,res_log,fp,model_repair,0.9259,0.9852222222222222,,,2025_07_28_19_29_16.log
blend_C_p0.03,res_log,fst,model_repair,0.9214,0.8965555555555556,,,log.txt
blend_C_p0.03,res_log,i-bau,model_repair,0.8573,0.35844444444444445,,,2025_07_28_19_29_21.log
blend_C_p0.03,res_log,nc,model_repair,0.9328,0.9597777777777777,,,2025_07_28_19_34_03.log
blend_C_p0.03,res_log,rnp,model_repair,0.5145,0.5546666666666666,,,2025_07_28_19_35_54.log
blend_C_p0.03,res_log,scan,sample_filter,,,0.9826666666666667,0.0,detection_info.csv
blend_C_p0.03,res_log,strip,sample_filter,,,0.1388888888888889,0.104,detection_info.csv
blend_C_p0.03,res_square,abl,model_repair,0.5443,0.015555555555555555,,,2025_07_28_19_17_04.log
blend_C_p0.03,res_square,ac,sample_filter,0.8923,0.9181111111111111,,,2025_07_28_19_25_37.log
blend_C_p0.03,res_square,fp,model_repair,0.9248,0.9755555555555555,,,2025_07_28_19_29_17.log
blend_C_p0.03,res_square,fst,model_repair,0.9202,0.909,,,log.txt
blend_C_p0.03,res_square,i-bau,model_repair,0.8774,0.4608888888888889,,,2025_07_28_19_30_43.log
